habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,administracion,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,nombre,ubicacion,precio
2,2,2,55 m²,55 m²,5,No definida,16 a 30 años,$ 337.000 COP,"$ 5.818.181,82*m²",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Apartamento,El Batán,320000000
3,3,2,133 m²,124 m²,5,No definida,16 a 30 años,$ 530.000 COP,"$ 5.451.127,82*m²",1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Apartamento,Colina Campestre,725000000
2,1,0,74 m²,69 m²,3,No definida,más de 30 años,$ 83.600 COP,"$ 2.824.324,32*m²",0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Apartamento,Timiza,209000000
3,2,2,78 m²,0 m²,4,No definida,menor a 1 año,$ 309.000 COP,"$ 8.333.320,51*m²",1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,Apartamento,Ciudad salitre,649999000
3,2,1,120 m²,118 m²,6,Bueno,más de 30 años,$ 650.000 COP,"$ 4.416.666,67*m²",1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,Apartamento,Chico norte,530000000
1,2,1,49 m²,49 m²,4,Bueno,1 a 8 años,$ 172.500 COP,"$ 6.326.530,61*m²",1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,Apartamento,Cedro Golf,310000000
3,3,2,152 m²,152 m²,5,Excelente,1 a 8 años,No definida,$ 6.250.000*m²,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,Apartamento,Colina Campestre,950000000
4,5,2,175 m²,172 m²,6,Bueno,más de 30 años,$ 998.000 COP,"$ 5.428.571,43*m²",0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,Casa,Chicó Navarra,950000000
3,2,2,112 m²,110 m²,6,Bueno,16 a 30 años,$ 845.000 COP,$ 5.625.000*m²,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Apartamento,Julio florez,630000000
4,3,2,221 m²,221 m²,5,Excelente,16 a 30 años,$ 604.000 COP,"$ 4.063.348,42*m²",1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,Apartamento,La Castellana,898000000
3,2,1,80 m²,79 m²,4,Excelente,más de 30 años,$ 200.000 COP,$ 3.687.500*m²,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Apartamento,Minuto de Dios,295000000
3,5,2,147 m²,147 m²,6,No definida,más de 30 años,$ 887.000 COP,"$ 6.054.421,77*m²",1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartamento,Recodo Del Country,890000000
3,3,2,140 m²,128 m²,5,No definida,16 a 30 años,$ 626.300 COP,"$ 6.428.571,43*m²",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Apartamento,Country club,900000000
3,2,1,65 m²,65 m²,3,No definida,9 a 15 años,$ 170.000 COP,"$ 3.846.153,85*m²",0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,Apartamento,Centro engativa,250000000
3,2,1,73 m²,73 m²,4,No definida,más de 30 años,$ 394.000 COP,"$ 4.178.082,19*m²",1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,Apartamento,Cedritos,305000000
2,2,1,60 m²,60 m²,4,No definida,menor a 1 año,No definida,"$ 7.666.666,67*m²",1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Apartamento,La felicidad,460000000
2,1,1,35 m²,0 m²,2,No definida,menor a 1 año,No definida,"$ 4.285.714,29*m²",1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,Apartamento,Las cruces,150000000
3,2,1,87 m²,87 m²,4,Bueno,más de 30 años,$ 345.000 COP,"$ 6.321.839,08*m²",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,Apartamento,Ciudad Salitre,550000000
2,2,1,91 m²,85 m²,5,Remodelado,16 a 30 años,$ 306.000 COP,"$ 4.065.934,07*m²",0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,Apartamento,El Contador,370000000
3,3,1,110 m²,110 m²,4,Bueno,16 a 30 años,$ 348.000 COP,"$ 5.636.363,64*m²",1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,Apartamento,Rafael Nuñez,620000000
3,2,2,92 m²,83 m²,4,No definida,1 a 8 años,$ 350.000 COP,"$ 5.217.391,3*m²",1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,Apartamento,Villas De Aranjuez,480000000
3,2,0,"51,46 m²","45,87 m²",3,No definida,9 a 15 años,$ 160.000 COP,"$ 3.303.536,73*m²",0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Apartamento,Atlanta,170000000
2,3,2,104 m²,128 m²,6,No definida,16 a 30 años,$ 686.500 COP,"$ 8.461.538,46*m²",1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Apartamento,Chicó,880000000
