habitaciones;ba�os;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;porteria_recepcion;Zonas Verdes;salon comunal;balcon;Barra estilo americano;Calentador;Chimenea;citofono;Cocina Integral;Terraza;Vigilancia;parques;Estudio;Patio;deposito;nombre;ubicacion;precio
3;2;1;70;70;4;Excelente;16 a 30 años;211000;4028571,43;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Casa;El Redil;282000000
3;2;1;74;74;4;No definida;16 a 30 años;285000;4189189,19;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;60;60;3;Bueno;9 a 15 años;130000;3800000;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Primavera Occidental;228000000
8;5;0;500;0;3;Excelente;9 a 15 años;No definida;3400000;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;Casa;Los Cerezos;1700000000
3;3;3;191;191;6;Excelente;más de 30 años;960000;7068062,83;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;67;57;4;No definida;16 a 30 años;650000;4626865,67;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Apartamento;Bosque calderon;310000000
4;4;2;136;128;4;Excelente;1 a 8 años;410000;6250000;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazurén;850000000
2;3;2;94;94;4;Excelente;menor a 1 año;530000;5851063,83;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;1;78;78;4;No definida;1 a 8 años;274000;5128205,13;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;Apartamento;sabaneta;400000000
3;2;0;95;9353;4;Excelente;más de 30 años;85000;4052631,58;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campín;385000000
3;1;0;49;49;3;Bueno;16 a 30 años;120000;3804897,79;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;Apartamento;Ciudadela Colsubsidio;188000000
3;4;2;170;270;6;Excelente;16 a 30 años;1158000;7588235,29;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa bibiana;1290000000
3;2;1;86;80;3;Excelente;1 a 8 años;No definida;3720930,23;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
12;5;0;375;320;3;Bueno;16 a 30 años;No definida;1493333,33;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
6;4;3;218;0;4;Bueno;más de 30 años;No definida;3027522,94;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandía;660000000
3;2;0;60;60;3;Bueno;16 a 30 años;No definida;2833333,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Villa de los Alpes;170000000
3;4;2;175;175;4;No definida;16 a 30 años;No definida;4285714,29;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000
3;2;1;76;70;4;Bueno;9 a 15 años;241000;4736842,11;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Casa;Versalles;360000000
3;2;1;79;0;4;Excelente;9 a 15 años;303000;4585987,26;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;Apartamento;Hayuelos;360000000
3;2;1;65;0;3;No definida;No definida;289000;5384615,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Eduardo frey;350000000
3;3;3;250;240;6;Remodelado;más de 30 años;1700000;7000000;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Apartamento;Los Rosales;1750000000
6;3;0;152;228;2;No definida;9 a 15 años;No definida;2302631,58;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;Casa;Salazar usme;350000000
1;2;1;59;59;6;No definida;1 a 8 años;512000;8813559,32;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;SANTA BARBARA CENTRAL;520000000
4;3;1;109;0;3;Bueno;16 a 30 años;160000;3348623,85;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;El Cortijo;365000000
3;3;1;127;0;4;Excelente;9 a 15 años;299000;3779527,56;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;Casa;Suba la Campiña;480000000
